,runr_id,2018_beg_pace,2018_end_pace,school_id,team_size,gender,pace,num_races,rank,pct_rank,pr_time,race_diff,pr_flag,goal_set,log_entries_sept,log_entries_nov,log_entries_all,max_effort_log_entries_sept,max_effort_log_entries_nov,max_effort_log_entries_all,sum_effort_log_entries_nov,2018_improvement
35,94440,8.699784946236559,10.541286997006985,1134,115,1,9.62,4,130.0,0.91,86500,-28758.0,0,3,0.0,3.0,82.0,0.0,0.0,1.0,9.0,-1.84
36,94442,7.0525,7.0525,906,123,1,7.05,1,102.0,0.46,77200,-7430.0,0,0,0.0,0.0,224.0,0.0,0.0,17.0,0.0,0.0
37,94443,5.308174603174603,5.303861476608187,906,123,1,5.21,12,8.8,0.05,58675,2321.08,11,0,32.0,145.0,985.0,9.0,39.0,277.0,394.0,0.0
38,94446,5.43694623655914,5.470118279569893,1143,74,1,5.55,9,70.0,0.26,78390,35.56,3,0,18.0,74.0,150.0,0.0,5.0,9.0,227.0,-0.03
39,94452,7.735112994350282,6.8573055555555555,1140,167,1,7.3,4,273.8,0.8,122190,-3143.0,1,1,7.0,21.0,286.0,2.0,2.0,12.0,65.0,0.88
40,94457,5.787390873015873,5.642455410719415,906,123,1,5.7,10,47.4,0.29,59614,186.3,3,0,34.0,202.0,1215.0,5.0,42.0,302.0,584.0,0.14
41,94500,8.520166666666666,11.403333333333334,1120,206,0,9.96,2,42.5,0.91,83681,-9280.5,0,0,14.0,79.0,395.0,2.0,16.0,99.0,253.0,-2.88
42,94502,5.855664682539682,5.691542998132996,906,123,1,5.75,10,52.5,0.26,61771,-639.4,2,0,21.0,100.0,767.0,6.0,16.0,91.0,315.0,0.16
43,94507,5.913201058201058,5.440670437011821,906,123,1,5.6,9,38.1,0.21,62383,220.11,4,0,2.0,68.0,876.0,0.0,7.0,178.0,194.0,0.47
44,94511,5.598662074099705,5.608011360184679,950,218,1,5.61,10,75.6,0.23,85120,4655.0,6,10,37.0,168.0,560.0,12.0,71.0,237.0,581.0,-0.01
45,94515,5.097373909745924,5.152222222222222,950,218,1,7.1,6,117.2,0.34,88470,-36255.0,1,0,0.0,0.0,177.0,0.0,0.0,83.0,0.0,-0.05
46,94516,5.428327645051194,8.035483870967742,950,218,1,6.73,2,189.5,0.54,96520,-22240.0,1,0,0.0,0.0,531.0,0.0,0.0,78.0,0.0,-2.61
47,94518,6.542542562724014,6.273853046594983,986,213,0,6.44,10,21.1,0.14,84170,491.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
48,94521,5.528154761904761,5.608231878419167,906,123,1,5.47,12,49.8,0.23,58282,6.67,3,0,9.0,102.0,1119.0,0.0,0.0,73.0,229.0,-0.08
49,94525,7.395833333333333,7.395833333333333,906,123,1,7.4,1,137.0,0.62,90400,1650.0,1,0,13.0,33.0,367.0,4.0,8.0,55.0,107.0,0.0
50,94578,6.872442621310698,6.6176727150537635,936,225,1,6.71,11,80.9,0.6,74987,2379.09,8,2,0.0,0.0,107.0,0.0,0.0,7.0,0.0,0.25
